ticker,entry_date,exit_date,entry_price,exit_price,shares,return,profit,exit_reason,holding_days
A005930,2025-05-13,2025-05-22,57700,55300,51,-0.0415944540727903,-122823.04499999993,price_below_bb,9
A051910,2025-03-21,2025-04-01,259000,248500,11,-0.04054054054054054,-115910.0249999999,price_below_bb,11
A006400,2023-04-06,2023-04-21,747980,730358,4,-0.023559453461322495,-70926.21479999973,macd_dead,15
A000270,2025-07-24,2025-08-04,107200,100700,27,-0.06063432835820896,-175907.83499999996,macd_dead,11
A035720,2024-02-16,2024-02-23,59500,58100,50,-0.023529411764705882,-70435.75,universe_exit,7
A068270,2025-02-27,2025-03-25,180697,178097,16,-0.014388728091777948,-42027.43280000007,macd_dead,26
A012330,2023-04-12,2023-04-27,224500,220000,13,-0.0200445434298441,-58929.0,price_below_bb,15
A012330,2023-06-28,2023-07-27,230000,237000,12,0.030434782608695653,83573.3999999999,macd_dead,29
A066570,2023-11-16,2023-11-28,106600,105000,28,-0.0150093808630394,-45241.0,macd_dead,12
A015760,2025-06-25,2025-07-14,38400,36500,78,-0.049479166666666664,-148627.0499999998,macd_dead,19
A323410,2023-05-04,2023-06-15,24000,26100,125,0.0875,262010.625,macd_dead,42
A329180,2024-11-08,2024-12-02,216000,222000,13,0.027777777777777776,77567.1000000001,macd_dead,24
A329180,2025-08-28,2025-09-10,527000,500000,5,-0.051233396584440226,-135375.0,macd_dead,13
A009150,2023-04-06,2023-04-07,157000,153700,19,-0.021019108280254776,-63138.044999999925,macd_dead,1
A034020,2024-11-15,2024-11-22,22400,21300,133,-0.049107142857142856,-146724.93500000006,macd_dead,7
A011200,2023-12-05,2023-12-08,17000,15670,176,-0.07823529411764706,-234493.68800000008,price_below_bb,3
A011200,2023-12-19,2024-01-11,16680,19110,175,0.14568345323741008,424748.3625000003,macd_dead,23
A011200,2024-11-05,2024-11-07,17620,17050,173,-0.03234960272417707,-99052.44749999978,price_below_bb,2
A010950,2025-03-11,2025-03-17,60900,59100,49,-0.029556650246305417,-88634.38499999978,price_below_bb,6
A009830,2023-12-18,2024-01-08,35500,36300,84,0.022535211267605635,66742.62000000011,macd_dead,21
A316140,2024-07-29,2024-08-06,16110,14520,186,-0.09869646182495345,-296145.108,cci_exit,8
A377300,2023-04-17,2023-04-24,59900,55500,50,-0.07345575959933222,-220416.25,price_below_bb,7
A377300,2024-01-12,2024-01-23,56900,50500,51,-0.11247803163444639,-326786.3250000002,macd_dead,11
A352820,2024-07-01,2024-07-03,204500,197800,14,-0.03276283618581907,-94215.37999999989,cci_exit,2
A011170,2024-06-21,2024-06-28,119300,111900,25,-0.06202849958088852,-185419.625,macd_dead,7
A011070,2025-06-19,2025-06-24,153700,150000,19,-0.024072869225764477,-70727.5,price_below_bb,5
A011070,2025-07-11,2025-07-22,157900,156300,18,-0.01013299556681444,-29222.009999999776,macd_dead,11
A097950,2025-03-07,2025-03-28,258000,257000,11,-0.003875968992248062,-11424.049999999814,macd_dead,21
A302440,2023-05-08,2023-06-09,81000,80100,37,-0.011111111111111112,-33744.55500000017,macd_dead,32
A302440,2024-06-28,2024-07-26,53600,53500,55,-0.0018656716417910447,-5941.375,price_below_bb,28
A302440,2024-08-01,2024-08-06,55200,49900,54,-0.09601449275362318,-286604.18999999994,cci_exit,5
A326030,2025-02-07,2025-02-21,125000,116700,24,-0.0664,-199620.1200000001,macd_dead,14
A326030,2025-08-06,2025-08-08,108600,100100,27,-0.07826887661141804,-229905.4049999998,macd_dead,2
A383220,2025-05-23,2025-06-16,73900,74900,40,0.013531799729364006,39550.60000000009,macd_dead,24
A138040,2025-08-18,2025-09-05,120000,122500,25,0.020833333333333332,62040.625,macd_dead,18
A032640,2023-04-06,2023-04-25,11050,11020,271,-0.0027149321266968325,-8577.962999999989,macd_dead,19
