ticker,entry_date,exit_date,entry_price,exit_price,shares,return,profit,exit_reason,holding_days
A005930,2025-05-13,2025-05-22,57700,55300,51,-0.0415944540727903,-122823.04499999993,macd_dead,9
A000660,2023-05-17,2023-06-20,92000,114000,32,0.2391304347826087,703452.8000000003,macd_dead,34
A000660,2023-07-28,2023-08-07,126200,120600,25,-0.044374009508716325,-140452.25,macd_dead,10
A000660,2025-01-06,2025-02-03,184400,191500,17,0.03850325379609545,120211.67500000028,macd_dead,28
A051910,2024-09-25,2024-10-14,349500,350000,8,0.001430615164520744,3580.0,macd_dead,19
A051910,2025-03-21,2025-04-01,259000,248500,11,-0.04054054054054054,-115910.0249999999,macd_dead,11
A006400,2023-04-06,2023-04-20,747980,737211,4,-0.014397443781919303,-43518.3265999998,macd_dead,14
A005380,2025-07-24,2025-08-01,221000,211000,13,-0.04524886877828054,-130411.45000000019,macd_dead,8
A035420,2025-09-26,2025-10-16,251500,257500,11,0.02385685884691849,65575.125,macd_dead,20
A000270,2025-07-24,2025-08-04,107200,100700,27,-0.06063432835820896,-175907.83499999996,macd_dead,11
A068270,2025-02-27,2025-03-24,180697,178290,16,-0.013320641737272893,-38939.89600000018,macd_dead,25
A012330,2023-04-12,2023-04-27,224500,220000,13,-0.0200445434298441,-58929.0,macd_dead,15
A012330,2023-06-28,2023-07-25,230000,242500,12,0.05434782608695652,149563.5,macd_dead,27
A015760,2024-01-17,2024-01-19,19200,18750,156,-0.0234375,-70638.75,macd_dead,2
A015760,2025-06-25,2025-07-07,38400,37650,77,-0.01953125,-58184.857499999925,macd_dead,12
A323410,2023-05-04,2023-05-30,24000,25500,125,0.0625,187021.875,macd_dead,26
A329180,2024-11-08,2024-11-29,216000,225500,13,0.04398148148148148,123060.2749999999,macd_dead,21
A329180,2025-02-13,2025-02-21,353000,295500,8,-0.16288951841359772,-460354.6000000001,macd_dead,8
A329180,2025-08-28,2025-09-09,527000,513000,5,-0.026565464895635674,-70384.75,macd_dead,12
