date,foreign_net_contracts,foreign_net_amount
2010-01-04,-2032,-2270
2010-01-05,388,434
2010-01-06,3320,3738
2010-01-07,-1767,-1982
2010-01-08,-965,-1047
2010-01-11,2185,2440
2010-01-12,-3091,-3430
2010-01-13,-4155,-4575
2010-01-14,6799,7532
2010-01-15,266,284
2010-01-18,29,67
2010-01-19,-2073,-2343
2010-01-20,-105,-115
2010-01-21,5240,5889
2010-01-22,-20737,-22965
2010-01-25,4690,5143
2010-01-26,573,588
2010-01-27,-972,-1081
2010-01-28,565,602
2010-01-29,962,975
2010-02-01,599,608
2010-02-02,3095,3227
2010-02-03,-199,-215
2010-02-04,-987,-1055
2010-02-05,3691,3794
2010-02-08,903,914
2010-02-09,-737,-731
2010-02-10,-2043,-2098
2010-02-11,-1318,-1363
2010-02-12,-5242,-5450
2010-02-16,4871,5104
2010-02-17,3783,4026
2010-02-18,-1163,-1239
2010-02-19,-3044,-3176
2010-02-22,2301,2458
2010-02-23,-1205,-1292
2010-02-24,-2888,-3036
2010-02-25,-3897,-4075
2010-02-26,4614,4795
2010-03-02,5776,6114
2010-03-03,-1699,-1801
2010-03-04,521,557
2010-03-05,2098,2238
2010-03-08,-1693,-1853
2010-03-09,1793,1945
2010-03-10,1053,1136
2010-03-11,922,981
2010-03-12,506,551
2010-03-15,-4934,-5322
2010-03-16,-582,-633
2010-03-17,3883,4224
2010-03-18,-2233,-2470
2010-03-19,1827,2012
2010-03-22,-6293,-6870
2010-03-23,1560,1722
2010-03-24,-126,-141
2010-03-25,-1202,-1333
2010-03-26,954,1068
2010-03-29,-1414,-1572
2010-03-30,-896,-1002
2010-03-31,2791,3113
2010-04-01,5015,5613
2010-04-02,-13,-11
2010-04-05,-1386,-1571
2010-04-06,-298,-340
2010-04-07,313,356
2010-04-08,730,837
2010-04-09,-6589,-7438
2010-04-12,-540,-596
2010-04-13,3413,3851
2010-04-14,4877,5556
2010-04-15,-4427,-5073
2010-04-16,-3669,-4159
2010-04-19,-2509,-2807
2010-04-20,1580,1783
2010-04-21,5135,5870
2010-04-22,-2933,-3328
2010-04-23,-3566,-4071
2010-04-26,2805,3231
2010-04-27,894,1023
2010-04-28,-8031,-9064
2010-04-29,-893,-1016
2010-04-30,5860,6699
2010-05-03,-3750,-4261
2010-05-04,-1779,-1986
2010-05-06,-1042,-1147
2010-05-07,7286,7784
2010-05-10,-833,-885
2010-05-11,-1129,-1230
2010-05-12,673,736
2010-05-13,3871,4268
2010-05-14,-3233,-3549
2010-05-17,1767,1887
2010-05-18,-610,-655
2010-05-19,-5509,-5793
2010-05-20,3414,3516
2010-05-24,4166,4340
2010-05-25,-3868,-3924
2010-05-26,-708,-727
2010-05-27,2762,2862
2010-05-28,-2778,-2927
2010-05-31,-3584,-3816
2010-06-01,2054,2184
2010-06-03,2661,2885
2010-06-04,-1655,-1814
2010-06-07,2862,3054
2010-06-08,-2588,-2798
2010-06-09,1786,1907
2010-06-10,2653,2881
2010-06-11,2967,3250
2010-06-14,-1125,-1254
2010-06-15,1103,1227
2010-06-16,711,802
2010-06-17,1877,2105
2010-06-18,311,346
2010-06-21,1393,1601
2010-06-22,2065,2343
2010-06-23,-1511,-1709
2010-06-24,3806,4283
2010-06-25,-2050,-2304
2010-06-28,3478,3938
2010-06-29,-746,-860
2010-06-30,319,364
2010-07-01,-3657,-3963
2010-07-02,-2447,-2713
2010-07-05,-791,-869
2010-07-06,-2228,-2453
2010-07-07,-3118,-3406
2010-07-08,5930,6545
2010-07-09,660,740
2010-07-12,-2851,-3223
2010-07-13,1155,1314
2010-07-14,1409,1630
2010-07-15,-1053,-1217
2010-07-16,-948,-1084
2010-07-19,-160,-164
2010-07-20,-1938,-2186
2010-07-21,-499,-578
2010-07-22,782,874
2010-07-23,5151,5902
2010-07-26,-595,-683
2010-07-27,1340,1552
2010-07-28,732,849
2010-07-29,652,752
2010-07-30,-1931,-2243
2010-08-02,4144,4811
2010-08-03,-1691,-1978
2010-08-04,-1867,-2176
2010-08-05,-1205,-1403
2010-08-06,-857,-998
2010-08-09,3342,3896
2010-08-10,-2188,-2550
2010-08-11,-10063,-11628
2010-08-12,1525,1698
2010-08-13,-1084,-1213
2010-08-16,919,1043
2010-08-17,5715,6467
2010-08-18,-2727,-3117
2010-08-19,6361,7335
2010-08-20,522,601
2010-08-23,-3222,-3765
2010-08-24,-1085,-1230
2010-08-25,-2454,-2796
2010-08-26,-2066,-2345
2010-08-27,-2485,-2800
2010-08-30,7783,8913
2010-08-31,-6294,-7155
2010-09-01,7329,8397
2010-09-02,-245,-283
2010-09-03,801,922
2010-09-06,2512,2921
2010-09-07,1015,1173
2010-09-08,-152,-171
2010-09-09,5062,5856
2010-09-10,3601,4258
2010-09-13,-491,-589
2010-09-14,20,23
2010-09-15,689,823
2010-09-16,-1134,-1346
2010-09-17,-2636,-3146
2010-09-20,1331,1600
2010-09-24,647,777
2010-09-27,2688,3253
2010-09-28,23,27
2010-09-29,2198,2672
2010-09-30,-874,-1064
2010-10-01,1832,2242
2010-10-04,-4679,-5746
2010-10-05,75,93
2010-10-06,-605,-757
2010-10-07,-4537,-5635
2010-10-08,-3613,-4473
2010-10-11,1762,2165
2010-10-12,-4441,-5428
2010-10-13,1449,1777
2010-10-14,272,341
2010-10-15,132,163
2010-10-18,-10390,-12787
2010-10-19,-6142,-7451
2010-10-20,1133,1397
2010-10-21,-1121,-1331
2010-10-22,7314,8989
2010-10-25,-202,-240
2010-10-26,-732,-912
2010-10-27,-1566,-1958
2010-10-28,666,817
2010-10-29,-7535,-9215
2010-11-01,9889,12172
2010-11-02,3160,3905
2010-11-03,5623,7059
2010-11-04,1894,2376
2010-11-05,-1091,-1408
2010-11-08,-1435,-1823
2010-11-09,-2262,-2866
2010-11-10,893,1148
2010-11-11,-2715,-3483
2010-11-12,-3306,-4113
2010-11-15,-4883,-6115
2010-11-16,-6355,-7885
2010-11-17,-51,-40
2010-11-18,3767,4740
2010-11-19,1532,1938
2010-11-22,-1905,-2428
2010-11-23,-4453,-5626
2010-11-24,5723,7193
2010-11-25,-1070,-1348
2010-11-26,-3564,-4441
2010-11-29,-1726,-2144
2010-11-30,8785,11018
2010-12-01,-195,-212
2010-12-02,1004,1293
2010-12-03,3093,3991
2010-12-06,-1876,-2399
2010-12-07,1215,1586
2010-12-08,-6193,-7990
2010-12-09,5717,7407
2010-12-10,983,1275
2010-12-13,-604,-794
2010-12-14,-3826,-5029
2010-12-15,-2317,-3053
2010-12-16,-483,-635
2010-12-17,2397,3184
2010-12-20,-1275,-1665
2010-12-21,-37,-36
2010-12-22,642,859
2010-12-23,-1843,-2476
2010-12-24,-1137,-1525
2010-12-27,1875,2505
2010-12-28,5497,7411
2010-12-29,3041,4125
2010-12-30,-3167,-4312
2011-01-03,-5551,-7628
2011-01-04,-2715,-3747
2011-01-05,1243,1716
2011-01-06,-5954,-8236
2011-01-07,4811,6641
2011-01-10,-991,-1361
2011-01-11,834,1153
2011-01-12,-1388,-1918
2011-01-13,-7327,-10259
2011-01-14,7929,10993
2011-01-17,-3048,-4248
2011-01-18,-2781,-3865
2011-01-19,7484,10428
2011-01-20,-2284,-3184
2011-01-21,-10914,-15033
2011-01-24,7553,10335
2011-01-25,5837,8103
2011-01-26,6641,9248
2011-01-27,-2563,-3588
2011-01-28,77,127
2011-01-31,-5782,-7914
2011-02-01,-1495,-2053
2011-02-07,-4966,-6863
2011-02-08,-2075,-2851
2011-02-09,-4443,-6029
2011-02-10,-4947,-6614
2011-02-11,2384,3150
2011-02-14,4523,5972
2011-02-15,-2556,-3410
2011-02-16,1928,2573
2011-02-17,1880,2444
2011-02-18,2304,3036
2011-02-21,-7163,-9458
2011-02-22,-906,-1188
2011-02-23,4459,5780
2011-02-24,1653,2126
2011-02-25,-3429,-4463
2011-02-28,-7,-23
2011-03-02,1209,1507
2011-03-03,287,374
2011-03-04,5323,7002
2011-03-07,-7818,-10309
2011-03-08,6733,8868
2011-03-09,-423,-586
2011-03-10,-10331,-13512
2011-03-11,-6086,-7848
2011-03-14,9835,12731
2011-03-15,-5173,-6568
2011-03-16,7309,9500
2011-03-17,-4512,-5824
2011-03-18,1842,2437
2011-03-21,679,895
2011-03-22,4126,5501
2011-03-23,-2035,-2712
2011-03-24,4593,6181
2011-03-25,6693,9136
2011-03-28,359,483
2011-03-29,-1086,-1495
2011-03-30,1647,2271
2011-03-31,-186,-278
2011-04-01,-3388,-4765
2011-04-04,-959,-1341
2011-04-05,837,1167
2011-04-06,-5521,-7840
2011-04-07,-2754,-3889
2011-04-08,-1241,-1739
2011-04-11,2576,3638
2011-04-12,-3069,-4280
2011-04-13,2266,3204
2011-04-14,-6822,-9574
2011-04-15,774,1092
2011-04-18,-2573,-3632
2011-04-19,3727,5259
2011-04-20,11854,16960
2011-04-21,-2131,-3126
2011-04-22,-3451,-5047
2011-04-25,-497,-727
2011-04-26,3075,4498
2011-04-27,-1373,-2017
2011-04-28,3580,5269
2011-04-29,1595,2327
2011-05-02,3567,5247
2011-05-03,-5020,-7351
2011-05-04,-3888,-5626
2011-05-06,-5866,-8364
2011-05-09,-5671,-8073
2011-05-11,2553,3638
2011-05-12,-5361,-7565
2011-05-13,3537,4926
2011-05-16,-1478,-2057
2011-05-17,-7410,-10251
2011-05-18,6561,9195
2011-05-19,-1774,-2528
2011-05-20,1908,2633
2011-05-23,-5827,-7994
2011-05-24,1120,1512
2011-05-25,1115,1443
2011-05-26,238,336
2011-05-27,1572,2193
2011-05-30,-805,-1118
2011-05-31,10346,14504
2011-06-01,-1140,-1604
2011-06-02,-1856,-2587
2011-06-03,1824,2528
2011-06-07,-4423,-6168
2011-06-08,-4423,-6206
2011-06-09,1376,1846
2011-06-10,-1199,-1654
