date,individual_net_contracts,individual_net_amount
2010-01-04,578,649
2010-01-05,-805,-902
2010-01-06,-1359,-1530
2010-01-07,329,368
2010-01-08,-1036,-1159
2010-01-11,334,380
2010-01-12,705,786
2010-01-13,2194,2409
2010-01-14,-1700,-1866
2010-01-15,119,157
2010-01-18,-1717,-1937
2010-01-19,371,434
2010-01-20,815,910
2010-01-21,-1887,-2141
2010-01-22,10195,11270
2010-01-25,-4733,-5178
2010-01-26,-1229,-1359
2010-01-27,402,472
2010-01-28,-1038,-1097
2010-01-29,833,894
2010-02-01,709,779
2010-02-02,-1675,-1759
2010-02-03,-459,-462
2010-02-04,95,115
2010-02-05,-1858,-1905
2010-02-08,-667,-679
2010-02-09,331,327
2010-02-10,-400,-411
2010-02-11,1876,1934
2010-02-12,70,84
2010-02-16,-2021,-2123
2010-02-17,-644,-681
2010-02-18,776,826
2010-02-19,1367,1402
2010-02-22,1257,1346
2010-02-23,-17,-2
2010-02-24,535,569
2010-02-25,-1723,-1863
2010-02-26,189,205
2010-03-02,-2560,-2702
2010-03-03,1289,1369
2010-03-04,-255,-263
2010-03-05,197,214
2010-03-08,1888,2054
2010-03-09,-1510,-1642
2010-03-10,-170,-178
2010-03-11,-1610,-1726
2010-03-12,-599,-648
2010-03-15,2790,2992
2010-03-16,538,590
2010-03-17,-400,-428
2010-03-18,109,129
2010-03-19,-41,-34
2010-03-22,27,23
2010-03-23,-196,-211
2010-03-24,-32,-50
2010-03-25,1792,2000
2010-03-26,-2784,-3075
2010-03-29,446,491
2010-03-30,43,53
2010-03-31,-2213,-2465
2010-04-01,565,614
2010-04-02,-1442,-1627
2010-04-05,-106,-120
2010-04-06,125,143
2010-04-07,-565,-642
2010-04-08,2783,3169
2010-04-09,3327,3768
2010-04-12,386,412
2010-04-13,-2394,-2696
2010-04-14,-1419,-1599
2010-04-15,1447,1668
2010-04-16,1048,1171
2010-04-19,1551,1748
2010-04-20,-933,-1043
2010-04-21,-1232,-1418
2010-04-22,-1219,-1369
2010-04-23,-109,-113
2010-04-26,-149,-171
2010-04-27,-1076,-1223
2010-04-28,3505,3954
2010-04-29,-1422,-1596
2010-04-30,-1282,-1459
2010-05-03,1857,2117
2010-05-04,269,273
2010-05-06,435,480
2010-05-07,-5441,-5809
2010-05-10,-3393,-3722
2010-05-11,372,344
2010-05-12,3090,3371
2010-05-13,-2799,-3097
2010-05-14,662,740
2010-05-17,-1035,-1132
2010-05-18,2641,2837
2010-05-19,1101,1179
2010-05-20,1032,1102
2010-05-24,-1383,-1428
2010-05-25,1554,1538
2010-05-26,-1579,-1589
2010-05-27,-2181,-2288
2010-05-28,-1036,-1092
2010-05-31,1633,1750
2010-06-01,151,163
2010-06-03,839,913
2010-06-04,1679,1840
2010-06-07,-2733,-2887
2010-06-08,5198,5591
2010-06-09,-4644,-4985
2010-06-10,2652,2872
