date,session,종목코드,종목명,종가,대비,시가,고가,저가,정산가,거래량,거래대금,미결제약정,source_file
2010-01-04,야간,101E3000,코스피200 F 201003,224.45,1.4,223.35,224.5,223.35,223.0,419,46872.0,107858,data_0952_20260131.csv
2010-01-04,주간,101E3000,코스피200 F 201003,223.05,0.55,222.9,224.4,222.65,223.05,202269,22617051.0,107845,data_0952_20260131.csv
2010-01-05,야간,101E3000,코스피200 F 201003,222.9,-0.1,222.85,223.3,222.8,224.5,379,42272.0,105690,data_0952_20260131.csv
2010-01-05,주간,101E3000,코스피200 F 201003,223.0,-0.05,224.95,224.95,222.65,223.0,282859,31639253.0,105659,data_0952_20260131.csv
2010-01-06,야간,101E3000,코스피200 F 201003,224.95,0.45,224.35,225.0,224.35,221.9,458,51467.0,107292,data_0952_20260131.csv
2010-01-06,주간,101E3000,코스피200 F 201003,224.5,1.5,223.7,225.75,223.55,224.5,251925,28332545.0,107220,data_0952_20260131.csv
2010-01-07,야간,101E3000,코스피200 F 201003,222.4,0.5,221.7,222.4,221.7,222.85,520,57713.0,106189,data_0952_20260131.csv
2010-01-07,주간,101E3000,코스피200 F 201003,221.9,-2.6,224.95,225.3,221.8,221.9,292237,32720178.0,106149,data_0952_20260131.csv
2010-01-08,야간,101E3000,코스피200 F 201003,223.0,0.15,222.9,223.05,222.5,223.0,440,49018.0,104754,data_0952_20260131.csv
2010-01-08,주간,101E3000,코스피200 F 201003,222.85,0.95,222.5,223.5,220.15,222.85,404153,44877420.0,104715,data_0952_20260131.csv
2010-01-11,야간,101E3000,코스피200 F 201003,222.95,-0.05,223.2,223.35,222.75,222.75,453,50532.0,108216,data_0952_20260131.csv
2010-01-11,주간,101E3000,코스피200 F 201003,223.0,0.15,223.6,224.6,222.7,223.0,300423,33621386.0,108162,data_0952_20260131.csv
2010-01-12,야간,101E3000,코스피200 F 201003,221.7,-1.05,222.55,222.55,221.65,219.7,716,79509.0,103492,data_0952_20260131.csv
2010-01-12,주간,101E3000,코스피200 F 201003,222.75,-0.25,223.0,223.45,221.1,222.75,344239,38309579.0,103425,data_0952_20260131.csv
2010-01-13,야간,101E3000,코스피200 F 201003,220.4,0.7,219.75,220.45,219.55,222.3,392,43090.0,104138,data_0952_20260131.csv
2010-01-13,주간,101E3000,코스피200 F 201003,219.7,-3.05,221.45,221.65,219.1,219.7,351550,38735751.0,104117,data_0952_20260131.csv
2010-01-14,야간,101E3000,코스피200 F 201003,222.35,0.05,222.2,222.35,221.9,223.0,326,36206.0,99400,data_0952_20260131.csv
2010-01-14,주간,101E3000,코스피200 F 201003,222.3,2.6,220.4,223.05,220.1,222.3,352696,39077948.0,99384,data_0952_20260131.csv
2010-01-15,야간,101E3000,코스피200 F 201003,221.6,-1.4,223.15,223.35,221.5,224.45,619,68887.0,99228,data_0952_20260131.csv
2010-01-15,주간,101E3000,코스피200 F 201003,223.0,0.7,222.3,223.9,221.25,223.0,284325,31678832.0,99204,data_0952_20260131.csv
2010-01-18,야간,101E3000,코스피200 F 201003,224.8,0.35,224.4,224.9,224.3,224.45,218,24479.0,101571,data_0952_20260131.csv
2010-01-18,주간,101E3000,코스피200 F 201003,224.45,1.45,222.45,225.1,221.25,224.45,349436,38942844.0,101573,data_0952_20260131.csv
2010-01-19,야간,101E3000,코스피200 F 201003,225.4,0.95,224.15,225.4,223.85,224.45,580,65101.0,101278,data_0952_20260131.csv
2010-01-19,주간,101E3000,코스피200 F 201003,224.45,0.0,225.55,225.85,223.6,224.45,310948,34925195.0,101292,data_0952_20260131.csv
2010-01-20,야간,101E3000,코스피200 F 201003,223.15,-1.3,223.2,224.4,222.55,226.55,1115,124695.0,102809,data_0952_20260131.csv
2010-01-20,주간,101E3000,코스피200 F 201003,224.45,0.0,225.8,225.85,223.75,224.45,336575,37803686.0,102799,data_0952_20260131.csv
2010-01-21,야간,101E3000,코스피200 F 201003,224.15,-2.4,226.4,226.55,223.9,220.3,1236,139373.0,107855,data_0952_20260131.csv
2010-01-21,주간,101E3000,코스피200 F 201003,226.55,2.1,223.45,226.55,223.05,226.55,362474,40793763.0,107860,data_0952_20260131.csv
2010-01-22,야간,101E3000,코스피200 F 201003,218.05,-2.25,220.5,220.65,218.05,219.0,976,107351.0,112647,data_0952_20260131.csv
2010-01-22,주간,101E3000,코스피200 F 201003,220.3,-6.25,223.5,224.05,217.9,220.3,507627,56086762.0,112605,data_0952_20260131.csv
2010-01-25,야간,101E3000,코스피200 F 201003,218.9,-0.1,219.5,219.6,218.1,214.4,981,107441.0,112465,data_0952_20260131.csv
