ticker,name,clean_ticker
A005930,삼성전자,005930
A373220,LG에너지솔루션,373220
A207940,삼성바이오로직스,207940
A000660,SK하이닉스,000660
A051910,LG화학,051910
A005935,삼성전자우,005935
A006400,삼성SDI,006400
A005380,현대차,005380
A035420,NAVER,035420
A000270,기아,000270
A035720,카카오,035720
A005490,POSCO홀딩스,005490
A068270,셀트리온,068270
A028260,삼성물산,028260
A105560,KB금융,105560
A012330,현대모비스,012330
A055550,신한지주,055550
A003670,포스코퓨처엠,003670
A096770,SK이노베이션,096770
A066570,LG전자,066570
A032830,삼성생명,032830
A034730,SK,034730
A015760,한국전력,015760
A033780,KT&G,033780
A086790,하나금융지주,086790
A003550,LG,003550
A323410,카카오뱅크,323410
A051900,LG생활건강,051900
A010130,고려아연,010130
A329180,HD현대중공업,329180
A017670,SK텔레콤,017670
A009150,삼성전기,009150
A034020,두산에너빌리티,034020
A036570,엔씨소프트,036570
A011200,HMM,011200
A018260,삼성에스디에스,018260
A010950,S-Oil,010950
A000810,삼성화재,000810
A030200,KT,030200
A003490,대한항공,003490
A009830,한화솔루션,009830
A316140,우리금융지주,316140
A259960,크래프톤,259960
A090430,아모레퍼시픽,090430
A024110,기업은행,024110
A377300,카카오페이,377300
A352820,하이브,352820
A086280,현대글로비스,086280
A011170,롯데케미칼,011170
A011070,LG이노텍,011070
A097950,CJ제일제당,097950
A302440,SK바이오사이언스,302440
A326030,SK바이오팜,326030
A000060,메리츠화재,000060
A383220,F&F,383220
A138040,메리츠금융지주,138040
A009540,HD한국조선해양,009540
A271560,오리온,271560
A035250,강원랜드,035250
A251270,넷마블,251270
A047810,한국항공우주,047810
A032640,LG유플러스,032640
A402340,SK스퀘어,402340
A028050,삼성E&A,028050
A088980,맥쿼리인프라,088980
A005830,DB손해보험,005830
A034220,LG디스플레이,034220
A010140,삼성중공업,010140
A018880,한온시스템,018880
A267250,HD현대,267250
A000100,유한양행,000100
A021240,코웨이,021240
A004020,현대제철,004020
A078930,GS,078930
A361610,SK아이이테크놀로지,361610
A161390,한국타이어앤테크놀로지,161390
A008560,메리츠증권,008560
A000720,현대건설,000720
A012450,한화에어로스페이스,012450
A006800,미래에셋증권,006800
A011780,금호석유화학,011780
A282330,BGF리테일,282330
A128940,한미약품,128940
A029780,삼성카드,029780
A011790,SKC,011790
A241560,두산밥캣,241560
A010620,HD현대미포,010620
A008770,호텔신라,008770
A004990,롯데지주,004990
A036460,한국가스공사,036460
A064350,현대로템,064350
A137310,에스디바이오센서,137310
A028670,팬오션,028670
A007070,GS리테일,007070
A071050,한국금융지주,071050
A002790,아모레퍼시픽홀딩스,002790
A112610,씨에스윈드,112610
A003410,쌍용C&E,003410
A005940,NH투자증권,005940
A005387,현대차2우B,005387
A016360,삼성증권,016360
A047050,포스코인터내셔널,047050
A139480,이마트,139480
A307950,현대오토에버,307950
A023530,롯데쇼핑,023530
A001450,현대해상,001450
A030000,제일기획,030000
A001040,CJ,001040
A006040,동원산업,006040
A020150,롯데에너지머티리얼즈,020150
A180640,한진칼,180640
A088350,한화생명,088350
A012750,에스원,012750
A017390,서울가스,017390
A008930,한미사이언스,008930
A006260,LS,006260
A051915,LG화학우,051915
A004370,농심,004370
A004170,신세계,004170
A039490,키움증권,039490
A014680,한솔케미칼,014680
A000120,CJ대한통운,000120
A138930,BNK금융지주,138930
A052690,한전기술,052690
A081660,미스토홀딩스,081660
A042660,한화오션,042660
A204320,HL만도,204320
A026960,동서,026960
A272210,한화시스템,272210
A111770,영원무역,111770
A079550,LIG넥스원,079550
A336260,두산퓨얼셀,336260
A000880,한화,000880
A010060,OCI홀딩스,010060
A007310,오뚜기,007310
A069620,대웅제약,069620
A001440,대한전선,001440
A005385,현대차우,005385
A016710,대성홀딩스,016710
A002380,KCC,002380
A006360,GS건설,006360
A000080,하이트진로,000080
A047040,대우건설,047040
A010120,LS ELECTRIC,010120
A004690,삼천리,004690
A000990,DB하이텍,000990
A005070,코스모신소재,005070
A005300,롯데칠성,005300
A175330,JB금융지주,175330
A006280,녹십자,006280
A298050,HS효성첨단소재,298050
A042670,HD현대인프라코어,042670
A003620,KG모빌리티,003620
A267260,HD현대일렉트릭,267260
A051600,한전KPS,051600
A298020,효성티앤씨,298020
A004000,롯데정밀화학,004000
A004800,효성,004800
A011210,현대위아,011210
A001570,금양,001570
A069960,현대백화점,069960
A000240,한국앤컴퍼니,000240
A000150,두산,000150
A285130,SK케미칼,285130
A001120,LX인터내셔널,001120
A375500,DL이앤씨,375500
A007700,F&F홀딩스,007700
A000210,DL,000210
A114090,GKL,114090
A003090,대웅,003090
A139130,iM금융지주,139130
A267270,HD건설기계,267270
A108320,LX세미콘,108320
A089590,제주항공,089590
A280360,롯데웰푸드,280360
A014820,동원시스템즈,014820
A012510,더존비즈온,012510
A005850,에스엘,005850
A120110,코오롱인더,120110
A042700,한미반도체,042700
A019170,신풍제약,019170
A017800,현대엘리베이터,017800
A336370,솔루스첨단소재,336370
A145720,덴티움,145720
A000670,영풍,000670
A006650,대한유화,006650
A395400,SK리츠,395400
A018670,SK가스,018670
A271940,일진하이솔루스,271940
A001230,동국홀딩스,001230
A009240,한샘,009240
A020560,아시아나항공,020560
A093370,후성,093370
A089860,롯데렌탈,089860
A032350,롯데관광개발,032350
A330590,롯데리츠,330590
A185750,종근당,185750
A039130,하나투어,039130
A001740,SK네트웍스,001740
A001800,오리온홀딩스,001800
A161890,한국콜마,161890
A003690,코리안리,003690
A003230,삼양식품,003230
A103140,풍산,103140
A009420,한올바이오파마,009420
A353200,대덕전자,353200
A008730,율촌화학,008730
A181710,NHN,181710
A248070,솔루엠,248070
A031430,신세계인터내셔날,031430
A377740,바이오노트,377740
A192080,더블유게임즈,192080
A365550,ESR켄달스퀘어리츠,365550
A178920,PI첨단소재,178920
A348950,제이알글로벌리츠,348950
A192820,코스맥스,192820
A272450,진에어,272450
A023590,다우기술,023590
A010780,아이에스동서,010780
A003240,태광산업,003240
A079160,CJ CGV,079160
A214320,이노션,214320
A002840,미원상사,002840
A009970,영원무역홀딩스,009970
A073240,금호타이어,073240
A268280,미원에스씨,268280
A069260,TKG휴켐스,069260
A005250,녹십자홀딩스,005250
A300720,한일시멘트,300720
A009900,명신산업,009900
A082640,동양생명,082640
A005420,코스모화학,005420
A001680,대상,001680
A249420,일동제약,249420
A066575,LG전자우,066575
A016380,KG스틸,016380
A298040,효성중공업,298040
A005880,대한해운,005880
A403550,쏘카,403550
A284740,쿠쿠홈시스,284740
A013890,지누스,013890
A051905,LG생활건강우,051905
A010050,우리종금,010050
A005690,파미셀,005690
A003000,부광약품,003000
A020000,한섬,020000
A294870,HDC현대산업개발,294870
A005440,현대지에프홀딩스,005440
A000640,동아쏘시오홀딩스,000640
A003520,영진약품,003520
A383800,LX홀딩스,383800
A007340,DN오토모티브,007340
A004360,세방,004360
A003540,대신증권,003540
A034120,SBS,034120
A057050,현대홈쇼핑,057050
A003850,보령,003850
A005610,SPC삼립,005610
A064960,SNT모티브,064960
A049770,동원F&B,049770
A002350,넥센타이어,002350
A192650,드림텍,192650
A004490,세방전지,004490
A105630,한세실업,105630
A003030,세아제강지주,003030
A195870,해성디에스,195870
A192400,쿠쿠홀딩스,192400
A000070,삼양홀딩스,000070
A344820,KCC글라스,344820
A006120,SK디스커버리,006120
A011000,진원생명과학,011000
A001430,세아베스틸지주,001430
A018250,애경산업,018250
A014830,유니드,014830
A036420,콘텐트리중앙,036420
A000370,한화손해보험,000370
A381970,케이카,381970
A322000,HD현대에너지솔루션,322000
A025540,한국단자,025540
A241590,화승엔터프라이즈,241590
A001720,신영증권,001720
A363280,티와이홀딩스,363280
A082740,한화엔진,082740
A085620,미래에셋생명,085620
