티커,종목명,시가총액(원)
A005930,삼성전자,331322931525000
A373220,LG에너지솔루션,104364000000000
A207940,삼성바이오로직스,58860898000000
A000660,SK하이닉스,55109779030500
A051910,LG화학,42637775172000
A005935,삼성전자우,41802644360000
A006400,삼성SDI,41396247060000
A005380,현대차,33545905359000
A035420,NAVER,29446810757500
A000270,기아,24929845840500
A035720,카카오,23473127394900
A005490,POSCO홀딩스,23003374560000
A068270,셀트리온,22528833600000
A028260,삼성물산,20837909531500
A105560,KB금융,19463500436800
A012330,현대모비스,19092731535000
A055550,신한지주,17451321006700
A003670,포스코퓨처엠,14834206630000
A096770,SK이노베이션,14332162420000
A066570,LG전자,14139171129600
A032830,삼성생명,14080000000000
A034730,SK,13717625865000
A015760,한국전력,12422004889950
A033780,KT&G,12219032233000
A086790,하나금융지주,12072861820800
A003550,LG,12049256063800
A323410,카카오뱅크,11512883078550
A051900,LG생활건강,11245101840000
A010130,고려아연,10706242162000
A329180,HD현대중공업,10430841130000
A017670,SK텔레콤,10339866054000
A009150,삼성전기,9896914720000
A034020,두산에너빌리티,9734197503250
A036570,엔씨소프트,9473160493000
A011200,HMM,9462914247600
A018260,삼성에스디에스,9324024900000
A010950,S-Oil,9321855177600
A000810,삼성화재,9214405796500
A030200,KT,8486133760000
A003490,대한항공,8358609004700
A009830,한화솔루션,8196283596450
A316140,우리금융지주,8190681176250
A259960,크래프톤,8049373380000
A090430,아모레퍼시픽,7896522465000
A024110,기업은행,7543648720740
A377300,카카오페이,7142251809900
A352820,하이브,7009399096500
A086280,현대글로비스,6131250000000
A011170,롯데케미칼,6015336034500
A011070,LG이노텍,5987778071000
A097950,CJ제일제당,5667901029000
A302440,SK바이오사이언스,5643627381000
A326030,SK바이오팜,5591566050000
A000060,메리츠화재,5377436988000
A383220,F&F,5362990500000
A138040,메리츠금융지주,5300609204100
A009540,HD한국조선해양,5024891236000
A271560,오리온,4961784566000
A035250,강원랜드,4899237450000
A251270,넷마블,4804800761800
A047810,한국항공우주,4800649019750
A032640,LG유플러스,4693572130750
A402340,SK스퀘어,4654283085900
A028050,삼성E&A,4508000000000
A088980,맥쿼리인프라,4493785571700
A005830,DB손해보험,4488720000000
A034220,LG디스플레이,4472696250000
A010140,삼성중공업,4470400000000
A018880,한온시스템,4462568000000
A267250,HD현대,4455209994000
A000100,유한양행,4130255246400
A021240,코웨이,4125398702100
A004020,현대제철,4063424153250
A078930,GS,3958195102800
A361610,SK아이이테크놀로지,3842940208800
A161390,한국타이어앤테크놀로지,3840127139000
A008560,메리츠증권,3770198749270
A000720,현대건설,3741553704000
A012450,한화에어로스페이스,3726368000000
A006800,미래에셋증권,3679592119840
A011780,금호석유화학,3547031752000
A282330,BGF리테일,3491349012000
A128940,한미약품,3442872894500
A029780,삼성카드,3348321949900
A011790,SKC,3336197053800
A241560,두산밥캣,3323259852900
A010620,HD현대미포,3251290928600
A008770,호텔신라,3198721861500
A004990,롯데지주,3152522571850
A036460,한국가스공사,3069407250000
A064350,현대로템,3039612860050
A137310,에스디바이오센서,2977759155800
A028670,팬오션,2940132316000
A007070,GS리테일,2905922335500
A071050,한국금융지주,2886606385600
A002790,아모레퍼시픽홀딩스,2873667573000
A112610,씨에스윈드,2859221123400
A003410,쌍용C&E,2841768115800
A005940,NH투자증권,2819160328500
A005387,현대차2우B,2721814644600
A016360,삼성증권,2714720000000
A047050,포스코인터내셔널,2664903218400
A139480,이마트,2642627641200
A307950,현대오토에버,2629959873800
A023530,롯데쇼핑,2577105580500
A001450,현대해상,2574720000000
A030000,제일기획,2502146643750
A001040,CJ,2471291730600
A006040,동원산업,2449150585000
A020150,롯데에너지머티리얼즈,2393152336500
A180640,한진칼,2383396117200
A088350,한화생명,2292919200000
A012750,에스원,2196352488400
A017390,서울가스,2177500000000
A008930,한미사이언스,2171939598600
A006260,LS,2167060000000
A051915,LG화학우,2156708400000
A004370,농심,2141089984000
A004170,신세계,2136404277000
A039490,키움증권,2121158601700
A014680,한솔케미칼,2108346270000
A000120,CJ대한통운,2075923304000
A138930,BNK금융지주,2053392049800
A052690,한전기술,2040948000000
A081660,미스토홀딩스,2032161825900
A042660,한화오션,2006335510300
A204320,HL만도,1988634032000
A026960,동서,1984030000000
A272210,한화시스템,1974207615050
A111770,영원무역,1974075899400
A079550,LIG넥스원,1955800000000
A336260,두산퓨얼셀,1902592740300
A000880,한화,1900203932250
A010060,OCI홀딩스,1862635875100
A007310,오뚜기,1861637035000
A069620,대웅제약,1859645287500
A001440,대한전선,1841820053320
A005385,현대차우,1819444369500
A016710,대성홀딩스,1810064137500
A002380,KCC,1772850964500
A006360,GS건설,1715908874500
A000080,하이트진로,1711260108400
A047040,대우건설,1662490552000
A010120,LS ELECTRIC,1653000000000
A004690,삼천리,1634175075000
A000990,DB하이텍,1624988320800
A005070,코스모신소재,1612229765600
A005300,롯데칠성,1572770838000
A175330,JB금융지주,1550255375780
A006280,녹십자,1484190326000
A298050,HS효성첨단소재,1473902892000
A042670,HD현대인프라코어,1473337411950
A003620,KG모빌리티,1462534770240
A267260,HD현대일렉트릭,1458106610750
A051600,한전KPS,1435500000000
A298020,효성티앤씨,1425971219000
A004000,롯데정밀화학,1393200000000
A004800,효성,1382259240000
A011210,현대위아,1370632183200
A001570,금양,1361273367650
A069960,현대백화점,1355001333900
A000240,한국앤컴퍼니,1319599836000
A000150,두산,1269030528000
A285130,SK케미칼,1262976915600
A001120,LX인터내셔널,1261638000000
A375500,DL이앤씨,1247869341750
A007700,F&F홀딩스,1210589658650
A000210,DL,1198676564800
A114090,GKL,1159793812500
A003090,대웅,1145397006000
A139130,iM금융지주,1141734372750
A267270,HD건설기계,1138705835400
A108320,LX세미콘,1135248140000
A089590,제주항공,1131807551700
A280360,롯데웰푸드,1127431593000
A014820,동원시스템즈,1123412177500
A012510,더존비즈온,1122643868800
A005850,에스엘,1103152350000
A120110,코오롱인더,1102139594550
A042700,한미반도체,1099934112600
A019170,신풍제약,1086192295000
A017800,현대엘리베이터,1085684080600
A336370,솔루스첨단소재,1077913686500
A145720,덴티움,1075890276000
A000670,영풍,1075751360000
A006650,대한유화,1072500000000
A395400,SK리츠,1061392026600
A018670,SK가스,1056862938000
A271940,일진하이솔루스,1054898169500
A001230,동국홀딩스,1025901922750
A009240,한샘,1013135600400
A020560,아시아나항공,1011999990400
A093370,후성,1000132302400
A089860,롯데렌탈,1000109919900
A032350,롯데관광개발,980107421050
A330590,롯데리츠,975520069260
A185750,종근당,963838255200
A039130,하나투어,954331507500
A001740,SK네트웍스,949317749775
A001800,오리온홀딩스,936549058900
A161890,한국콜마,934696203000
A003690,코리안리,933656085570
A003230,삼양식품,930327352500
A103140,풍산,923399960100
A009420,한올바이오파마,919435228800
A353200,대덕전자,906800573750
A008730,율촌화학,896520000000
A181710,NHN,884222210900
A248070,솔루엠,875097142500
A031430,신세계인터내셔날,865725000000
A377740,바이오노트,854740042720
A192080,더블유게임즈,850739442600
A365550,ESR켄달스퀘어리츠,849159665000
A178920,PI첨단소재,848686705800
A348950,제이알글로벌리츠,840821760000
A192820,코스맥스,836458813300
A272450,진에어,835200000000
A023590,다우기술,832275745350
A010780,아이에스동서,827921840800
A003240,태광산업,826142800000
A079160,CJ CGV,813651557950
A214320,이노션,805000000000
A002840,미원상사,802675000000
A009970,영원무역홀딩스,800409250400
A073240,금호타이어,797147296425
A268280,미원에스씨,785400000000
A069260,TKG휴켐스,780781030800
A005250,녹십자홀딩스,780668286000
A300720,한일시멘트,775729248000
A009900,명신산업,758193421850
A082640,동양생명,747897041475
A005420,코스모화학,745675256400
A001680,대상,743200136250
A249420,일동제약,727709187750
A066575,LG전자우,722670963600
A016380,KG스틸,715063613550
A298040,효성중공업,692813916400
A005880,대한해운,671868553300
A403550,쏘카,661058170400
A284740,쿠쿠홈시스,656291902500
A013890,지누스,653018355800
A051905,LG생활건강우,650906070000
A010050,우리종금,650407334064
A005690,파미셀,645182363000
A003000,부광약품,643831223940
A020000,한섬,640380000000
A294870,HDC현대산업개발,639960174300
A005440,현대지에프홀딩스,638987312280
A000640,동아쏘시오홀딩스,638065756500
A003520,영진약품,635552240225
A383800,LX홀딩스,632366920100
A007340,DN오토모티브,626624113500
A004360,세방,622705252500
A003540,대신증권,619435480000
A034120,SBS,616937271600
A057050,현대홈쇼핑,616800000000
A003850,보령,615462400000
A005610,SPC삼립,610070936300
A064960,SNT모티브,602473203200
A049770,동원F&B,602023344000
A002350,넥센타이어,594797370930
A192650,드림텍,594516483540
A004490,세방전지,591500000000
A105630,한세실업,590000000000
A003030,세아제강지주,588115294000
A195870,해성디에스,583100000000
A192400,쿠쿠홀딩스,581441724750
A000070,삼양홀딩스,573806157000
A344820,KCC글라스,573341380800
A006120,SK디스커버리,559712937000
A011000,진원생명과학,556701448840
A001430,세아베스틸지주,552276632600
A018250,애경산업,551967641500
A014830,유니드,543438280000
A036420,콘텐트리중앙,541270854800
