20150803,20150901,20151001,20151102,20151201,20160104,20160201,20160302,20160401,20160502,20160601,20160701,20160801,20160901,20161004,20161101,20161201,20170102,20170201,20170302,20170403,20170502,20170601,20170703,20170801,20170901,20171010,20171101,20171201,20180102,20180201,20180302,20180402,20180502,20180601,20180702,20180801,20180903,20181001,20181101,20181203,20190102,20190201,20190304,20190401,20190502,20190603,20190701,20190801,20190902,20191001,20191101,20191202,20200102,20200203,20200302,20200401,20200504,20200601,20200701,20200803,20200901,20201005,20201102,20201201,20210104,20210201,20210302,20210401,20210503,20210601,20210701,20210802,20210901,20211001,20211101,20211201,20220103,20220203,20220302,20220401,20220502,20220602,20220701,20220801,20220901,20221004,20221101,20221201,20230102,20230201,20230302,20230403,20230502,20230601,20230703,20230801,20230901,20231004,20231101,20231201,20240102,20240201,20240304,20240401,20240502,20240603,20240701,20240801,20240902,20241002,20241101,20241202,20250102,20250203,20250304,20250401,20250502,20250602,20250701,20250801,20250901,20251001,20251103,20251201,20260102,20260202
A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003380,A003380,A003380,A003380,A003380,A003380,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250,A000250
A005160,A005160,A005160,A005160,A005160,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A003670,A003670,A003670,A003670,A003670,A003670,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003100,A003100,A003100,A003100,A003100,A003100,A003100,A003100,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380
A005290,A005290,A005290,A005290,A005290,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005990,A005290,A005290,A005290,A005290,A005290,A005290,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A003670,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A003380,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290
A005990,A005990,A005990,A005990,A005990,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A005290,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730
A006730,A006730,A006730,A006730,A006730,A011040,A011040,A011040,A011040,A011040,A011040,A011370,A011370,A011370,A011370,A011370,A011370,A006910,A006910,A006910,A006910,A006910,A006910,A013030,A013030,A013030,A013030,A013030,A013030,A007390,A007390,A007390,A007390,A007390,A007390,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A006730,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390
A011040,A011040,A011040,A011040,A011040,A011370,A011370,A011370,A011370,A011370,A011370,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A013990,A013990,A013990,A013990,A013990,A013990,A007820,A007820,A007820,A007820,A007820,A007820,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A014620,A014620,A014620,A014620,A014620,A014620,A018290,A018290,A018290,A018290,A018290,A018290,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A007390,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520,A009520
A011370,A011370,A011370,A011370,A011370,A013030,A013030,A013030,A013030,A013030,A013030,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A013990,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A014200,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A007820,A010170,A010170,A010170,A010170,A010170,A010170,A010170,A013030,A013030,A013030,A013030,A013030,A013030,A015750,A015750,A015750,A015750,A015750,A015750,A022100,A022100,A022100,A022100,A022100,A022100,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A018000,A022100,A022100,A022100,A022100,A022100,A022100,A016790,A016790,A016790,A016790,A015750,A015750,A009520,A009520,A009520,A009520,A009520,A009520,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620
A013030,A013030,A013030,A013030,A013030,A013990,A013990,A013990,A013990,A013990,A013990,A014620,A014620,A014620,A014620,A014620,A014620,A014200,A014200,A014200,A014200,A014200,A014200,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A013030,A013030,A013030,A013030,A013030,A013030,A010170,A010170,A010170,A010170,A010170,A013030,A013030,A013030,A013030,A013030,A013030,A013030,A014620,A014620,A014620,A014620,A014620,A014620,A018290,A018290,A018290,A018290,A018290,A018290,A023410,A023410,A023410,A023410,A023410,A023410,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A022100,A023410,A023410,A023410,A023410,A023410,A023410,A022100,A022100,A022100,A022100,A016790,A016790,A015750,A015750,A015750,A015750,A015750,A015750,A016790,A016790,A016790,A016790,A025770,A025770,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750
A014470,A014470,A014470,A014470,A014470,A014620,A014620,A014620,A014620,A014620,A014620,A015750,A015750,A015750,A015750,A015750,A015750,A014620,A014620,A014620,A014620,A014620,A014620,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A014620,A014620,A014620,A014620,A014620,A014620,A013030,A013030,A013030,A013030,A013030,A014620,A014620,A014620,A014620,A014620,A014620,A014620,A015750,A015750,A015750,A015750,A015750,A015750,A022100,A022100,A022100,A022100,A022100,A022100,A025900,A025900,A025900,A025900,A025900,A025900,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A023410,A025900,A025900,A025900,A025900,A025900,A025900,A023410,A023410,A023410,A023410,A022100,A022100,A016790,A016790,A016790,A016790,A016790,A016790,A025770,A025770,A025770,A025770,A025900,A025900,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A018290,A018290,A018290,A018290,A018290,A018290,A018290,A018290
A014620,A014620,A014620,A014620,A014620,A015750,A015750,A015750,A015750,A015750,A015750,A016100,A016100,A016100,A016100,A016100,A016100,A015750,A015750,A015750,A015750,A015750,A015750,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A015750,A015750,A015750,A015750,A015750,A015750,A014620,A014620,A014620,A014620,A014620,A015750,A015750,A015750,A015750,A015750,A015750,A015750,A016250,A016250,A016250,A016250,A016250,A016250,A023160,A023160,A023160,A023160,A023160,A023160,A025980,A025980,A025980,A025980,A025980,A025980,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025980,A025980,A025980,A025980,A025980,A025980,A025900,A025900,A025900,A025900,A023410,A023410,A022100,A022100,A022100,A022100,A022100,A022100,A025900,A025900,A025900,A025900,A025980,A025980,A025770,A025770,A025770,A025770,A025770,A025770,A025900,A025900,A025900,A025900,A025900,A025900,A025320,A025320,A025320,A025320,A025320,A025320,A025320,A025320
A015750,A015750,A015750,A015750,A015750,A016100,A016100,A016100,A016100,A016100,A016100,A016170,A016170,A016170,A016170,A016170,A016170,A016100,A016100,A016100,A016100,A016100,A016100,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016170,A016100,A016100,A016100,A016100,A016100,A016100,A015750,A015750,A015750,A015750,A015750,A016100,A016100,A016100,A016100,A016100,A016100,A016100,A019210,A019210,A019210,A019210,A019210,A019210,A023410,A023410,A023410,A023410,A023410,A023410,A028150,A028150,A028150,A028150,A028150,A028150,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A025980,A027360,A027360,A027360,A027360,A027360,A027360,A025980,A025980,A025980,A025980,A025900,A025900,A025770,A025770,A025770,A025770,A025770,A025770,A025980,A025980,A025980,A025980,A028300,A028300,A025900,A025900,A025900,A025900,A025900,A025900,A025980,A025980,A025980,A025980,A025980,A025980,A025900,A025900,A025900,A025900,A025900,A025900,A025900,A025900
