20100104,20100201,20100302,20100401,20100503,20100601,20100701,20100802,20100901,20101001,20101101,20101201,20110103,20110201,20110302,20110401,20110502,20110601,20110701,20110801,20110901,20111004,20111101,20111201,20120102,20120201,20120302,20120402,20120502,20120601,20120702,20120801,20120903,20121002,20121101,20121203,20130102,20130201,20130304,20130401,20130502,20130603,20130701,20130801,20130902,20131001,20131101,20131202,20140102,20140203,20140303,20140401,20140502,20140602,20140701,20140801,20140901,20141001,20141103,20141201,20150102,20150202,20150302,20150401,20150504,20150601,20150701,20150803,20150901,20151001,20151102,20151201,20160104,20160201,20160302,20160401,20160502,20160601,20160701,20160801,20160901,20161004,20161101,20161201,20170102,20170201,20170302,20170403,20170502,20170601,20170703,20170801,20170901,20171010,20171101,20171201,20180102,20180201,20180302,20180402,20180502,20180601,20180702,20180801,20180903,20181001,20181101,20181203,20190102,20190201,20190304,20190401,20190502,20190603,20190701,20190801,20190902,20191001,20191101,20191202,20200102,20200203,20200302,20200401,20200504,20200601,20200701,20200803,20200901,20201005,20201102,20201201,20210104,20210201,20210302,20210401,20210503,20210601,20210701,20210802,20210901,20211001,20211101,20211201,20220103,20220203,20220302,20220401,20220502,20220602,20220701,20220801,20220901,20221004,20221101,20221201,20230102,20230201,20230302,20230403,20230502,20230601,20230703,20230801,20230901,20231004,20231101,20231201,20240102,20240201,20240304,20240401,20240502,20240603,20240701,20240801,20240902,20241002,20241101,20241202,20250102,20250203,20250304,20250401,20250502,20250602,20250701,20250801,20250901,20251001,20251103,20251201,20260102,20260202
A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000020,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000030,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000060,A000060,A000060,A000060,A000060,A000060,A000060,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080
A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000050,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000070,A000070,A000070,A000070,A000070,A000070,A000080,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100
A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000070,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000080,A000080,A000080,A000080,A000080,A000080,A000100,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120
A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000080,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000100,A000100,A000100,A000100,A000100,A000100,A000120,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150
A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000100,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000120,A000120,A000120,A000120,A000120,A000120,A000150,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210
A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000120,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000150,A000150,A000150,A000150,A000150,A000150,A000210,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240
A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000140,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000210,A000210,A000210,A000210,A000210,A000210,A000240,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270
A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000150,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000240,A000240,A000240,A000240,A000240,A000240,A000270,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660
A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000210,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000270,A000270,A000270,A000270,A000270,A000270,A000660,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000720,A000720,A000720,A000720,A000720,A000720,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670
A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000240,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000430,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000230,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000270,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000640,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000660,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000670,A000660,A000660,A000660,A000660,A000660,A000660,A000670,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000810,A000810,A000810,A000810,A000810,A000810,A000720,A000720,A000720,A000720,A000720,A000720,A000720,A000720
