종목코드,종목명,종가,대비,등락률,상장시가총액
"196170","알테오젠","449500","-5500","-1.21","2.4050852E7"
"247540","에코프로비엠","146600","-9700","-6.21","1.4337677E7"
"086520","에코프로","90800","-6100","-6.30","1.2328475E7"
"298380","에이비엘바이오","200000","600","0.30","1.1025033E7"
"277810","레인보우로보틱스","470500","-5000","-1.05","9127633.0"
"028300","HLB","50800","1750","3.57","6698138.0"
"141080","리가켐바이오","173700","-900","-0.52","6359216.0"
"087010","펩트론","254000","1000","0.40","5922607.0"
"000250","삼천당제약","232500","0","0.00","5453862.0"
"058470","리노공업","60300","-600","-0.99","4595575.0"
"214450","파마리서치","403000","2500","0.62","4187028.0"
"347850","디앤디파마텍","91800","-5900","-6.04","3996552.0"
"310210","보로노이","217500","-2500","-1.14","4000504.0"
"214370","케어젠","71800","2300","3.31","3856737.0"
"108490","로보티즈","261000","-6500","-2.43","3802793.0"
"214150","클래시스","54500","-100","-0.18","3570058.0"
"039030","이오테크닉스","272000","5000","1.87","3350918.0"
"240810","원익IPS","67900","3000","4.62","3332797.0"
"041510","에스엠","135000","7000","5.47","3090783.0"
"226950","올릭스","140400","400","0.29","2834660.0"
"145020","휴젤","230500","4500","1.99","2836080.0"
"403870","HPSP","33500","300","0.90","2800954.0"
"140410","메지온","90100","-2000","-2.17","2735789.0"
"035900","JYP Ent.","72600","1500","2.11","2579659.0"
"068760","셀트리온제약","58000","-1400","-2.36","2533551.0"
"237690","에스티팜","119200","-1200","-1.00","2467641.0"
"263750","펄어비스","37400","200","0.54","2402870.0"
"257720","실리콘투","38650","450","1.18","2364294.0"
"095340","ISC","111100","2100","1.93","2354993.0"
"357780","솔브레인","262000","5500","2.14","2037984.0"
"005290","동진쎄미켐","36650","-100","-0.27","1884341.0"
"160190","하이젠알앤엠","59500","-3700","-5.85","1837836.0"
"222800","심텍","49350","-1450","-2.85","1842838.0"
"058610","에스피지","81300","-4600","-5.36","1803019.0"
"039200","오스코텍","45200","-100","-0.22","1729270.0"
"089030","테크윙","45800","50","0.11","1697057.0"
"067310","하나마이크론","25750","550","2.18","1709237.0"
"084370","유진테크","75000","0","0.00","1718703.0"
"064760","티씨케이","142200","300","0.21","1660185.0"
"083650","비에이치아이","52300","-1700","-3.15","1618391.0"
"060370","LS마린솔루션","29950","-600","-1.96","1564554.0"
"098460","고영","22900","-650","-2.76","1572194.0"
"466100","클로봇","63000","-1400","-2.17","1574505.0"
"065350","신성델타테크","56700","-1300","-2.24","1558340.0"
"290650","엘앤씨바이오","61100","-700","-1.13","1504212.0"
"140860","파크시스템스","209000","1000","0.48","1462264.0"
"035760","CJ ENM","64600","1800","2.87","1416623.0"
"007390","네이처셀","21800","-250","-1.13","1404684.0"
"178320","서진시스템","25300","-400","-1.56","1413594.0"
"195940","HK이노엔","49300","-550","-1.10","1396664.0"
"348370","엔켐","62900","-3400","-5.13","1369172.0"
"323280","태성","44500","-2500","-5.32","1357282.0"
"293490","카카오게임즈","14900","-200","-1.32","1337825.0"
"036930","주성엔지니어링","27700","-400","-1.42","1309332.0"
"122870","와이지엔터테인먼트","69400","4700","7.26","1297159.0"
"253450","스튜디오드래곤","42750","950","2.27","1285001.0"
"096530","씨젠","23800","-200","-0.83","1242979.0"
"082270","젬백스","29000","50","0.17","1237731.0"
"003380","하림지주","10630","320","3.10","1190620.0"
"328130","루닛","41100","250","0.61","1202452.0"
"232140","와이씨","14480","-110","-0.75","1188017.0"
"204270","제이앤티씨","19820","-180","-0.90","1146557.0"
"085660","차바이오텍","14670","60","0.41","1126323.0"
"358570","지아이이노베이션","17640","-360","-2.00","1126313.0"
"319660","피에스케이","36900","700","1.93","1068872.0"
"131970","두산테스나","53200","2100","4.11","1028209.0"
"101490","에스앤에스텍","48300","50","0.10","1030475.0"
"161580","필옵틱스","43850","-1150","-2.56","1026210.0"
"078600","대주전자재료","63500","-2700","-4.08","983018.0"
"031980","피에스케이홀딩스","46300","-650","-1.38","998339.0"
"388720","유일로보틱스","83200","-2300","-2.69","973173.0"
"376300","디어유","40100","850","2.17","951910.0"
"281740","레이크머티리얼즈","14750","-260","-1.73","969526.0"
"183300","코미코","88400","1100","1.26","924724.0"
"213420","덕산네오룩스","36500","-750","-2.01","906338.0"
"080220","제주반도체","26350","4000","17.90","907569.0"
"086900","메디톡스","120800","500","0.42","881658.0"
"095610","테스","44550","250","0.56","880674.0"
"137400","피엔티","37600","-1400","-3.59","892740.0"
"006730","서부T&D","13100","600","4.80","857093.0"
"056190","에스에프에이","23400","-150","-0.64","840265.0"
"218410","RFHIC","32650","-250","-0.76","865337.0"
"166090","하나머티리얼즈","43100","-150","-0.35","852418.0"
"112040","위메이드","24950","-350","-1.38","847015.0"
"417200","LS머트리얼즈","12180","-690","-5.36","824009.0"
"225570","넥슨게임즈","12010","-60","-0.50","790981.0"
"067160","SOOP","67800","400","0.59","779345.0"
"033500","동성화인텍","25350","-450","-1.74","760234.0"
"086450","동국제약","17150","-230","-1.32","775702.0"
"036830","솔브레인홀딩스","37300","-700","-1.84","781959.0"
"036540","SFA반도체","4575","35","0.77","752406.0"
"348210","넥스틴","71900","400","0.56","753297.0"
"025980","아난티","7800","70","0.91","738656.0"
"241710","코스메카코리아","66600","-1000","-1.48","711288.0"
"042000","카페24","30150","0","0.00","731230.0"
"032190","다우데이타","18400","-620","-3.26","704720.0"
"014620","성광벤드","25750","-200","-0.77","683852.0"
"336570","원텍","7750","450","6.16","697259.0"
"052400","코나아이","45400","-350","-0.77","661173.0"
"036810","에프에스티","30650","-3650","-10.64","672962.0"
"053800","안랩","60100","-700","-1.15","668703.0"
"211050","인카금융서비스","12810","-150","-1.16","658175.0"
"009520","포스코엠텍","15790","-670","-4.07","657538.0"
"251970","펌텍코리아","52100","100","0.19","646040.0"
"189300","인텔리안테크","59500","1300","2.23","638633.0"
"131290","티에스이","57600","-2300","-3.84","637138.0"
"018290","브이티","17510","-310","-1.74","611832.0"
"041190","우리기술투자","7360","-140","-1.87","618240.0"
"121600","나노신소재","49950","-1050","-2.06","609949.0"
"032820","우리기술","3640","-60","-1.62","606995.0"
