종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","119900","400","0.33","7.09764587E8"
"000660","SK하이닉스","651000","11000","1.72","4.7392954E8"
"373220","LG에너지솔루션","368500","-11500","-3.03","8.6229E7"
"207940","삼성바이오로직스","1695000","-11000","-0.64","7.8463162E7"
"005380","현대차","296500","3000","1.02","6.0710678E7"
"329180","HD현대중공업","509000","-14000","-2.68","5.3425264E7"
"402340","SK스퀘어","368000","22000","6.36","4.8608058E7"
"012450","한화에어로스페이스","941000","-8000","-0.84","4.852116E7"
"034020","두산에너빌리티","75300","-1200","-1.57","4.8234254E7"
"000270","기아","121800","700","0.58","4.7552303E7"
"105560","KB금융","124700","-900","-0.72","4.7568324E7"
"068270","셀트리온","181000","-300","-0.17","4.1803935E7"
"028260","삼성물산","239500","-2000","-0.83","4.0709382E7"
"035420","NAVER","242500","500","0.21","3.8036765E7"
"055550","신한지주","76900","-1000","-1.28","3.733456E7"
"042660","한화오션","113600","-2000","-1.73","3.4808562E7"
"012330","현대모비스","373000","6500","1.77","3.3843253E7"
"032830","삼성생명","157600","0","0.00","3.152E7"
"015760","한국전력","47200","-50","-0.11","3.0300704E7"
"009540","HD한국조선해양","407000","-3500","-0.85","2.8804658E7"
"267260","HD현대일렉트릭","774000","-14000","-1.78","2.7900482E7"
"035720","카카오","60100","-1100","-1.80","2.658967E7"
"086790","하나금융지주","94100","-800","-0.84","2.6190459E7"
"010130","고려아연","1316000","-56000","-4.08","2.4560841E7"
"005490","POSCO홀딩스","305000","-9000","-2.87","2.468455E7"
"051910","LG화학","333000","-5500","-1.62","2.350725E7"
"000810","삼성화재","497000","1000","0.20","2.2867544E7"
"006400","삼성SDI","269500","-8000","-2.88","2.17178E7"
"010140","삼성중공업","24100","-500","-2.03","2.1208E7"
"316140","우리금융지주","28000","-250","-0.88","2.0554137E7"
"064350","현대로템","187900","-1700","-0.90","2.0507837E7"
"138040","메리츠금융지주","113100","1200","1.07","1.9817583E7"
"011200","HMM","20500","150","0.74","1.9336378E7"
"009150","삼성전기","255000","-2500","-0.97","1.9046892E7"
"0126Z0","삼성에피스홀딩스","743000","4000","0.54","1.8488105E7"
